company_name,job_position,employment_type,working_location_type,working_location,min_experience,salary,company_desc,company_industry,company_location,company_employess_count,job_desc_list,job_qualification_list,jobs_id
Ruangguru,Sales Trainee Academy Tabanan - Ir. Soekarno,Magang,On-site,Tabanan Regency,Min. 4th Year College Student,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Ruangguru membuka kembali program STAR (Sales Trainee Academy by Ruangguru) untuk penempatan Seluruh Indonesia. Ini adalah kesempatan bagus untuk kamu yang ingin belajar membangun karir sebagai Educational Sales Consultant dan berkontribusi dalam memajukan pendidikan di Indonesia!', '']","['Pendidikan terakhir D3 & S1 (freshgraduate dan mahasiswa semester akhir tanpa jadwal kuliah silahkan mendaftar)', 'Bersedia untuk bekerja dari kantor (sesuai penempatan)', 'Percaya diri, gigih, disiplin, dan bertanggung-jawab serta berorientasi pada target', 'Senang untuk tampil dan berbicara di depan umum', 'Memiliki laptop dan smartphone pribadi yang berfungsi dengan baik']",2433
Ruangguru,Sales Trainee Academy Jembrana - Jenderal Sudirman,Magang,On-site,Jembrana Regency,Min. 4th Year College Student,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Ruangguru membuka kembali program STAR (Sales Trainee Academy by Ruangguru) untuk penempatan Seluruh Indonesia. Ini adalah kesempatan bagus untuk kamu yang ingin belajar membangun karir sebagai Educational Sales Consultant dan berkontribusi dalam memajukan pendidikan di Indonesia!', '']","['Pendidikan terakhir D3 & S1 (freshgraduate dan mahasiswa semester akhir tanpa jadwal kuliah silahkan mendaftar)', 'Bersedia untuk bekerja dari kantor (sesuai penempatan)', 'Percaya diri, gigih, disiplin, dan bertanggung-jawab serta berorientasi pada target', 'Senang untuk tampil dan berbicara di depan umum', 'Memiliki laptop dan smartphone pribadi yang berfungsi dengan baik']",2434
Ruangguru,Branch Manager - Ogan Komering Ilir (Sumatera Selatan),Penuh waktu,On-site,Ogan Komering Ilir Regency,Min. 1 years of experience,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Direct all sales and marketing initiatives in branch', 'Assess local market condition, identify current and prospective sales opportunities', 'Assess the competitor’s pricing and sales initiatives', 'Fulfill goals and metrics (NPS, improve grades)', 'Collaborate with Sales Team in driving sales', 'Direct and oversee all facilities and operational aspects, including product\xa0distribution (modul, merchandise, apps access)', 'Oversee customer experience (end to end customer journey)', 'Coordinate and manage branch staff (admin, teachers, security, office boy)', 'Collaborate with Product Team for application-related matter', 'Direct and monitor the academic process in branch (scheduling, quality control, pedagogy,\xa0class\xa0rating)']","['Bachelor’s Degree from any major in any reputable university.', 'years leadership experience in Sales & Marketing/Business Development/Business Operations (will be advantaged from educational and/or start-up company).', 'Good communication skills in Bahasa Indonesia and English.', 'Detail and customer service oriented.', 'Have good knowledge in people management.', 'Have a bit of knowledge or experience in K-12 Education (SD,\xa0SMP,\xa0SMA\xa0Grade)']",2435
Ruangguru,Master Teacher Ruangguru - Kabupaten Kotawaringin Timur,Paruh waktu,On-site,Kotawaringin Timur Regency,Min. 4th Year College Student,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Kami sedang mencari pengajar yang berdedikasi dan berkompeten! Bergabunglah dengan kami sebagai Master Teacher Ruangguru di kabupaten Kotawaringin Timur!', 'Setelah apply di Dealls, kamu dapat langsung mendaftarkan akun di web Akademia berikut: https://pengajar.ruangguru.com', 'Kenali platform Akademia by Ruangguru lebih jauh di https://tinyurl.com/kenalandenganakademia']","['Lulusan S1 atau sedang berkuliah (minimal semester 5) sesuai jurusan yang dipilih', 'Memiliki pengalaman mengajar SMA/UTBK/Tes Skolastik', 'Senang berinisiatif dan mencoba hal baru dalam mengajar', 'Berdomisil di sekitar cabang Ruangguru Learning Center']",2436
Ruangguru,Sales Trainee Academy Bitung - Girian,Magang,On-site,Bitung,Min. 4th Year College Student,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Menjaga hubungan baik dengan calon pelanggan dan pelanggan', 'Menawarkan solusi masalah pendidikan yang dihadapi dan mencocokkan dengan produk Ruangguru', 'Melakukan follow up kepada pengguna aplikasi Ruangguru untuk berlangganan fitur berbayar']","['Pendidikan terakhir D3 & S1 (freshgraduate dan mahasiswa semester akhir tanpa jadwal kuliah silahkan mendaftar)', 'Bersedia untuk bekerja dari kantor (sesuai penempatan)', 'Percaya diri, gigih, disiplin, dan bertanggung-jawab serta berorientasi pada target', 'Senang untuk tampil dan berbicara di depan umum', 'Memiliki laptop dan smartphone pribadi yang berfungsi dengan baik']",2437
Ruangguru,Branch Manager English Academy - Banyuwangi - Brawijaya,Penuh waktu,On-site,Banyuwangi Regency,Min. 1 years of experience,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Coordinate and manage branches within the regional area, ensuring smooth operations and overseeing the academic process', 'Lead all activity initiatives within branches, including events, promotions, and other marketing efforts aimed at driving student engagement and enrollment', 'Demonstrate a comprehensive understanding of Profit and Loss (PnL) management, including evaluating local market conditions and identifying current and potential sales opportunities to optimize revenue', 'Oversee the entire customer experience, managing the end-to-end customer journey to ensure satisfaction and foster loyalty']","['Bachelor’s Degree in any major', 'Leadership experience in Sales & Marketing/Business Development/Business Operations (experience in an English course/educational/start-up environment is advantageous)', 'Good knowledge of people management and experience in handling a team', 'Strong communication skills in Bahasa Indonesia and English', 'Previous experience as an English teacher is desirable']",2438
Ruangguru,Branch Manager - Parigi Moutong (Sulawesi Tengah),Penuh waktu,On-site,Parigi Moutong Regency,Min. 1 years of experience,,"Ruangguru merupakan perusahaan teknologi terbesar dan terlengkap di Indonesia yang berfokus pada layanan berbasis pendidikan dan telah memiliki lebih dari 13 juta pengguna serta telah mengelola lebih dari 500.000 guru yang menawarkan jasa di lebih dari 100 bidang pelajaran. Perusahaan ini didirikan sejak tahun 2014 oleh Belva Devara dan Iman Usman, yang keduanya berhasil masuk dalam jajaran pengusaha sukses dibawah 30 tahun melalui Forbes 30 under 30 untuk teknologi konsumen di Asia.",Technology Education,Jakarta Selatan,50–100,"['Direct all sales and marketing initiatives in branch', 'Assess local market condition, identify current and prospective sales opportunities', 'Assess the competitor’s pricing and sales initiatives', 'Fulfill goals and metrics (NPS, improve grades)', 'Collaborate with Sales Team in driving sales', 'Direct and oversee all facilities and operational aspects, including product\xa0distribution (modul, merchandise, apps access)', 'Oversee customer experience (end to end customer journey)', 'Coordinate and manage branch staff (admin, teachers, security, office boy)', 'Collaborate with Product Team for application-related matter', 'Direct and monitor the academic process in branch (scheduling, quality control, pedagogy,\xa0class\xa0rating)']","['Bachelor’s Degree from any major in any reputable university.', 'years leadership experience in Sales & Marketing/Business Development/Business Operations (will be advantaged from educational and/or start-up company).', 'Good communication skills in Bahasa Indonesia and English.', 'Detail and customer service oriented.', 'Have good knowledge in people management.', 'Have a bit of knowledge or experience in K-12 Education (SD,\xa0SMP,\xa0SMA\xa0Grade)']",2439
Dexa Group,Medical Representative Jepara,Penuh waktu,On-site,Jepara Regency,Min. Freshgrad,,"Dexa Group has evolved from a small company established in 1969 to one of Indonesia’s largest ethical pharmaceutical companies at the beginning of the 21st century and has become a prominent, well-respected player in the domestic pharmaceutical market.",Pharmaceutical,Tangerang Selatan,-,"['Mempresentasikan Produk Oral, Injeksi, Antibiotik, Obat Generik Berlogo (OGB) kepada dokter/relasi', 'Menciptakan permintaan terhadap produk', 'Mencapai target penjualan', 'Membina serta mempertahankan hubungan baik dengan relasi']","['Pendidikan minimal D3 semua jurusan (terbuka untuk lulusan baru)', 'Memiliki pengalaman sebagai ', 'atau ', 'lebih disukai', 'Memiliki SIM C dan dapat mengusahakan motor sendiri', 'Menyukai pekerjaan di lapangan, enerjik, dan komunikatif', 'Bersedia ditempatkan di seluruh wilayah ', 'dan sekitarnya']",2440
Manulife Indonesia (PT Asuransi Jiwa Manulife Indonesia),Head of Audit Services - Indonesia,Penuh waktu,On-site,Jakarta,Min. 5+ years of experience,,,Insurance Services,Jakarta,>100,"['Plan and lead a team to execute various types of audits of assigned areas/countries (including Regional and Group-wide audits) in accordance with the audit methodology, departmental standards, and regulatory requirements.', 'Own relationship management responsibility of assigned areas/countries.', 'Assess adequacy of risk management and internal controls of assigned areas, segments, countries. Present findings to and reach agreement with the business unit management; make practical and value-added recommendations to improve control environment and efficiency and effectiveness of operations', 'Prepare and issued audit reports that are clear, concise, well-organized and able to comply with departmental service standards.', 'Represent Audit Services in meeting with respective regulators under assigned areas and promptly respond to regulators’ requests related to internal audit.', 'Represent Audit Services in various Audit Committees and Risk Committees of assigned areas.', 'Utilize technology to improve effectiveness and efficiency of audit process.', 'Ensure quality of work are completed and assigned KPIs are met.', 'Manage projects within time budgets and target dates, reporting any timing problems or budget over-runs to audit management.', 'Recruit talented staff and provide appropriate development and training utilizing the Audit Services Core Competencies model. Provide coaching to team members.', 'Follow up with business unit management regularly on the status/implementation of remediation actions for timely audit issue closure.', 'Actively participates in departmental initiatives.']","['years’ relevant experience over internal audit of life insurance, pension, asset management and/or shariah business.', 'Good knowledge of audit methodologies, control frameworks and risk management techniques.', 'Actuarial experience in valuation or product development in pricing would be considered an asset.', 'Excellent communication skills, oral and written over Bahasa and English. Able to deal with confrontations and resolve conflicts.', 'Proven leadership skills and demonstrate people management capabilities.', 'Proven relationship skills including ability to deal effectively with staff at all levels to Assistant Vice President.\xa0', 'Results-oriented with a keen focus on quality and delivering value; ability to balance multiple priorities and projects; strong attention to detail while retaining focus on the “big picture” and top risks; flexible and organized with the ability to oversee multiple projects concurrently.', 'Ability to quickly understand business processes and risks, identify key controls, analyze complex situations, reach appropriate conclusions, make value-added and practical recommendations and influence management to take appropriate actions on recommendations.', 'Recognized accounting (CA, CMA, CGA, CPA) or auditing (CIA, CISA) professional designation.', 'Strong team-player who willingly and openly shares ideas and knowledge. Able to collaborate with different team members in a multi-cultural environment.', 'Provide clear and timely constructive feedback. At the same time, actively seeks feedback from others and incorporates any necessary changes.', 'Challenges the status quo and proactively makes suggestions for continuous improvement.']",2441
Dexa Group,Medica Representative - Timika,Penuh waktu,On-site,Mimika Regency,Min. 1 years of experience,,"Dexa Group has evolved from a small company established in 1969 to one of Indonesia’s largest ethical pharmaceutical companies at the beginning of the 21st century and has become a prominent, well-respected player in the domestic pharmaceutical market.",Pharmaceutical,Tangerang Selatan,-,"['Mempresentasikan Produk Oral, Injeksi, Antibiotik, Obat Generik Berlogo (OGB) kepada dokter/relasi', 'Menciptakan permintaan terhadap produk', 'Mencapai target penjualan', 'Membina serta mempertahankan hubungan baik dengan relasi']","['Pendidikan minimal D3 semua jurusan (terbuka untuk lulusan baru)', 'Memiliki pengalaman sebagai Medical Representative atau Marketing lebih disukai', 'Memiliki SIM C dan dapat mengusahakan motor sendiri', 'Menyukai pekerjaan dilapangan, enerjik dan komunikatif', 'Bersedia ditempatkan di seluruh wilayah Timika dan sekitarnya']",2442
